Dish,Cuisine,Weather,Time,Mood,Location
Tomato Soup,Indian,Cold,Dinner,Sad,Delhi
Fruit Salad,Global,Hot,Afternoon,Happy,Mumbai
Chicken Biryani,Indian,Any,Lunch,Energetic,Hyderabad
Pancakes,American,Any,Morning,Happy,Bangalore
Hot Chocolate,European,Rainy,Evening,Sad,Manali
Ice Cream,Global,Hot,Evening,Excited,Goa
Ramen,Japanese,Cold,Dinner,Tired,Shimla
Grilled Cheese,American,Cold,Lunch,Lazy,Delhi
Samosa,Indian,Any,Tea Time,Hungry,Any
Caesar Salad,Italian,Hot,Lunch,Fit,Mumbai
Chole Bhature,Indian,Cold,Breakfast,Excited,Amritsar
Smoothie Bowl,Global,Hot,Morning,Healthy,Bangalore
Butter Naan,Indian,Any,Dinner,Happy,Any
Pasta Alfredo,Italian,Rainy,Dinner,Calm,Kolkata
Sushi,Japanese,Any,Lunch,Curious,Mumbai
Dhokla,Indian,Any,Breakfast,Cheerful,Ahmedabad
Khichdi,Indian,Rainy,Dinner,Sick,Nagpur
Paratha,Indian,Cold,Breakfast,Hungry,Patna
Chocolate Cake,Global,Any,Evening,Romantic,Any
Bhel Puri,Indian,Hot,Tea Time,Excited,Mumbai
Pav Bhaji,Indian,Any,Dinner,Happy,Mumbai
Poha,Indian,Any,Breakfast,Neutral,Indore
Upma,Indian,Any,Breakfast,Healthy,Bangalore
Vada Pav,Indian,Any,Tea Time,Excited,Mumbai
Rajma Chawal,Indian,Any,Lunch,Comforting,Delhi
Masala Dosa,Indian,Any,Breakfast,Energetic,Bangalore
Aloo Paratha,Indian,Cold,Breakfast,Cheerful,Delhi
Matar Paneer,Indian,Any,Lunch,Joyful,Any
Palak Paneer,Indian,Any,Dinner,Healthy,Any
Gulab Jamun,Indian,Any,Evening,Romantic,Any
Tandoori Chicken,Indian,Any,Dinner,Energetic,Lucknow
Pani Puri,Indian,Hot,Tea Time,Excited,Nagpur
Idli Sambhar,Indian,Any,Breakfast,Happy,Chennai
Kadhi Chawal,Indian,Any,Lunch,Sad,Jaipur
Mysore Pak,Indian,Any,Evening,Cheerful,Bangalore
Spaghetti Bolognese,Global,Any,Dinner,Happy,Any
Rice & Beans,Global,Any,Lunch,Neutral,Any
Tomato Soup,Global,Any,Dinner,Sad,Any
Stir-fried Noodles,Global,Any,Dinner,Neutral,Any
